Date,Trips
2017-08-02,513464
2017-08-03,526650
2017-08-04,568021
2017-08-05,565567
2017-08-06,503321
2017-08-07,508100
2017-08-08,462342
2017-08-09,487302
2017-08-10,514758
2017-08-11,547445
2017-08-12,564630
2017-08-13,502590
2017-08-14,446064
2017-08-15,486221
2017-08-16,489149
2017-08-17,512075
2017-08-18,585993
2017-08-19,581673
2017-08-20,521196
2017-08-21,454855
2017-08-22,490280
2017-08-23,499077
2017-08-24,507752
2017-08-25,541629
2017-08-26,583843
2017-08-27,528468
2017-08-28,442540
2017-08-29,512009
2017-08-30,477224
2017-08-31,508625
2017-09-01,549599
2017-09-02,593372
2017-09-03,512867
2017-09-04,453338
2017-09-05,486636
2017-09-06,563914
2017-09-07,550008
2017-09-08,611731
2017-09-09,656493
2017-09-10,582207
2017-09-11,497642
2017-09-12,517807
2017-09-13,547840
2017-09-14,579095
2017-09-15,611870
2017-09-16,652242
2017-09-17,581299
2017-09-18,474558
2017-09-19,506676
2017-09-20,491291
2017-09-21,486824
2017-09-22,564867
2017-09-23,651548
2017-09-24,571608
2017-09-25,490651
2017-09-26,498341
2017-09-27,537155
2017-09-28,558409
2017-09-29,599449
2017-09-30,642102
2017-10-01,556952
2017-10-02,473408
2017-10-03,490763
2017-10-04,516479
2017-10-05,551679
2017-10-06,608573
2017-10-07,669096
2017-10-08,596056
2017-10-09,493326
2017-10-10,511157
2017-10-11,531008
2017-10-12,557980
2017-10-13,614161
2017-10-14,679404
2017-10-15,585356
2017-10-16,518889
2017-10-17,522826
2017-10-18,539305
2017-10-19,566685
2017-10-20,623308
2017-10-21,667167
2017-10-22,580435
2017-10-23,501399
2017-10-24,553396
2017-10-25,547845
2017-10-26,608482
2017-10-27,662808
2017-10-28,739633
2017-10-29,750732
2017-10-30,537021
2017-10-31,535360
2017-11-01,561256
2017-11-02,576138
2017-11-03,654170
2017-11-04,704019
2017-11-05,585826
2017-11-06,528282
2017-11-07,631734
2017-11-08,572947
2017-11-09,605995
2017-11-10,726934
2017-11-11,734450
2017-11-12,627569
2017-11-13,564908
2017-11-14,564320
2017-11-15,589826
2017-11-16,642626
2017-11-17,694175
2017-11-18,759561
2017-11-19,646464
2017-11-20,556187
2017-11-21,560416
2017-11-22,618450
2017-11-23,539711
2017-11-24,492652
2017-11-25,545099
2017-11-26,535806
2017-11-27,524416
2017-11-28,537462
2017-11-29,556613
2017-11-30,610522
2017-12-01,682646
2017-12-02,738382
2017-12-03,635684
2017-12-04,554670
2017-12-05,626666
2017-12-06,620642
2017-12-07,659297
2017-12-08,729587
2017-12-09,826768
2017-12-10,653734
2017-12-11,590611
2017-12-12,609346
2017-12-13,691640
2017-12-14,716538
2017-12-15,784250
2017-12-16,800809
2017-12-17,678159
2017-12-18,577159
2017-12-19,590174
2017-12-20,628797
2017-12-21,645880
2017-12-22,649180
2017-12-23,616914
2017-12-24,545603
2017-12-25,449108
2017-12-26,471947
2017-12-27,537025
2017-12-28,611862
2017-12-29,665525
2017-12-30,641709
2017-12-31,741534
